|    | Gene                               | Drug Class                                                                                                                     | Mechanism                    | Model                 |   % Identity | Antibiotics                                                                                                                                                                                                                                                                                                                                                   |
|----|------------------------------------|--------------------------------------------------------------------------------------------------------------------------------|------------------------------|-----------------------|--------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|  0 | qacG                               | disinfecting agents and antiseptics                                                                                            | antibiotic efflux            | protein homolog model |         40   | benzalkonium chloride                                                                                                                                                                                                                                                                                                                                         |
|  1 | mfpA                               | fluoroquinolone antibiotic                                                                                                     | antibiotic target protection | protein homolog model |        100   | ciprofloxacin; levofloxacin; moxifloxacin; gatifloxacin; nalidixic acid; norfloxacin; sparfloxacin                                                                                                                                                                                                                                                            |
|  2 | putative nickel/cobalt transporter | fluoroquinolone antibiotic; aminoglycoside antibiotic; isoniazid-like antibiotic                                               | antibiotic efflux            | protein homolog model |        100   | isoniazid; nalidixic acid; norfloxacin; ofloxacin; sparfloxacin; gentamicin                                                                                                                                                                                                                                                                                   |
|  3 | Rv1877                             | fluoroquinolone antibiotic                                                                                                     | antibiotic efflux            | protein homolog model |        100   | levofloxacin; ofloxacin                                                                                                                                                                                                                                                                                                                                       |
|  4 | Erm(37)                            | macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic | antibiotic target alteration | protein homolog model |        100   | erythromycin; roxithromycin; lincomycin; telithromycin; clarithromycin; clindamycin; tylosin; spiramycin; azithromycin; dirithromycin; pristinamycin IA; quinupristin; virginiamycin M1; madumycin II; griseoviridin; dalfopristin; pristinamycin IB; virginiamycin S2; pristinamycin IC; vernamycin C; patricin A; patricin B; ostreogrycin B3; oleandomycin |
|  5 | RbpA                               | rifamycin antibiotic                                                                                                           | antibiotic target protection | protein homolog model |         91.9 | rifampin; rifaximin; rifabutin; rifapentine                                                                                                                                                                                                                                                                                                                   |
|  6 | blaC                               | cephalosporin; penicillin beta-lactam                                                                                          | antibiotic inactivation      | protein homolog model |        100   | cefoxitin; amoxicillin; cefalotin; temocillin; ticarcillin                                                                                                                                                                                                                                                                                                    |
|  7 | efpA                               | rifamycin antibiotic; isoniazid-like antibiotic                                                                                | antibiotic efflux            | protein homolog model |        100   | rifampin; isoniazid                                                                                                                                                                                                                                                                                                                                           |
|  8 | AAC(2')-Ic                         | aminoglycoside antibiotic                                                                                                      | antibiotic inactivation      | protein homolog model |        100   | dibekacin; netilmicin; tobramycin; 6'-N-ethylnetilmicin; gentamicin                                                                                                                                                                                                                                                                                           |
